17-06-08-02-56-58,,,,
Temp,code,VoutIP,Vref,Vout0A
-20,0,0.8512,1.6123,2.6602
-20,1,0.8494,1.4738,2.6584
-20,2,0.8492,1.3926,2.6575
-20,3,0.8485,1.3376,2.657
-20,4,0.8492,1.3018,2.6577
-20,5,0.85,1.2776,2.6565
-20,6,0.8483,1.2588,2.6562
-20,7,0.8484,1.2444,2.6553
-20,8,0.8486,1.2382,2.6562
-20,9,0.8482,1.2359,2.6567
-20,10,0.8489,1.2342,2.6564
-20,11,0.8499,1.233,2.6557
-20,12,0.8488,1.2322,2.6559
-20,13,0.8483,1.2315,2.6565
-20,14,0.8492,1.231,2.6549
-20,15,0.8472,1.2306,2.6566
17-06-08-03-02-34,,,,
Temp,code,VoutIP,Vref,Vout0A
-20,0,0.7567,1.2388,2.6306
-20,1,0.756,1.2357,2.629
-20,2,0.756,1.2334,2.6281
-20,3,0.7552,1.2318,2.6283
-20,4,0.7552,1.2306,2.628
-20,5,0.755,1.2297,2.6279
-20,6,0.7554,1.2291,2.6272
-20,7,0.7552,1.2285,2.6276
-20,8,0.7549,1.2282,2.6272
-20,9,0.7552,1.2278,2.627
-20,10,0.7549,1.2278,2.6269
-20,11,0.755,1.2281,2.6267
-20,12,0.7549,1.2277,2.6265
-20,13,0.7547,1.2277,2.6272
-20,14,0.7546,1.2276,2.6262
-20,15,0.755,1.2274,2.627
17-06-08-03-10-28,,,,
Temp,code,VoutIP,Vref,Vout0A
-20,0,0.793,1.2373,2.6103
-20,1,0.7934,1.2346,2.6099
-20,2,0.793,1.2327,2.6087
-20,3,0.7933,1.231,2.6094
-20,4,0.7916,1.23,2.6078
-20,5,0.7912,1.2293,2.6076
-20,6,0.7919,1.2288,2.6082
-20,7,0.7919,1.2284,2.6081
-20,8,0.7917,1.228,2.6083
-20,9,0.7917,1.2279,2.6084
-20,10,0.7917,1.2278,2.6081
-20,11,0.7916,1.2277,2.6077
-20,12,0.7914,1.2277,2.6079
-20,13,0.791,1.2277,2.608
-20,14,0.7917,1.2277,2.6087
-20,15,0.7916,1.2276,2.6077
17-06-08-03-16-34,,,,
Temp,code,VoutIP,Vref,Vout0A
-20,0,0.7556,1.2363,2.5873
-20,1,0.7532,1.2337,2.5849
-20,2,0.7531,1.2319,2.5838
-20,3,0.7525,1.2308,2.5839
-20,4,0.7527,1.2298,2.5834
-20,5,0.7524,1.2295,2.5832
-20,6,0.7525,1.2291,2.583
-20,7,0.7521,1.2287,2.5832
-20,8,0.7523,1.2284,2.5822
-20,9,0.7519,1.2282,2.5827
-20,10,0.7517,1.2279,2.5827
-20,11,0.7519,1.2277,2.5822
-20,12,0.752,1.228,2.5824
-20,13,0.7517,1.2282,2.5823
-20,14,0.7523,1.2281,2.5825
-20,15,0.7522,1.2281,2.5823
17-06-08-03-22-17,,,,
Temp,code,VoutIP,Vref,Vout0A
-20,0,0.9326,1.2372,2.5844
-20,1,0.9308,1.2348,2.5822
-20,2,0.9308,1.2331,2.5814
-20,3,0.9304,1.2318,2.581
-20,4,0.9299,1.2307,2.5819
-20,5,0.9304,1.23,2.5804
-20,6,0.9302,1.2295,2.5804
-20,7,0.9305,1.229,2.5797
-20,8,0.9299,1.2287,2.5803
-20,9,0.9297,1.2283,2.5807
-20,10,0.9295,1.2283,2.5811
-20,11,0.9306,1.2283,2.5806
-20,12,0.93,1.2283,2.5804
-20,13,0.9301,1.2285,2.581
-20,14,0.9295,1.2283,2.5806
-20,15,0.9299,1.228,2.5806
17-06-08-03-27-55,,,,
Temp,code,VoutIP,Vref,Vout0A
-20,0,0.8024,1.2379,2.5938
-20,1,0.8018,1.2347,2.5926
-20,2,0.8022,1.2329,2.5927
-20,3,0.8022,1.2314,2.5919
-20,4,0.8022,1.2305,2.592
-20,5,0.8019,1.2296,2.5927
-20,6,0.8022,1.2291,2.5917
-20,7,0.8013,1.2287,2.5925
-20,8,0.802,1.2285,2.5917
-20,9,0.8016,1.2282,2.5923
-20,10,0.8019,1.228,2.5922
-20,11,0.802,1.2279,2.5928
-20,12,0.8018,1.2277,2.593
-20,13,0.8015,1.2279,2.5924
-20,14,0.8016,1.2279,2.5921
-20,15,0.8012,1.2278,2.592
