17-06-08-02-54-45,,
Temp,IP,Vout
-20,-13,3.5364
-20,-14,3.6083
-20,-15,3.6804
-20,-16,3.7519
-20,-17,3.8239
-20,-18,3.8955
-20,-19,3.9677
-20,-20,4.0398
-20,-21,4.1118
-20,-22,4.1833
-20,-23,4.2557
-20,-24,4.3274
-20,-25,4.3999
