10/21/2017 2:38:05 PM
sc810-30U
IP = 15A
Temp,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15,
25,2.528,0.529,2.529,0.529,2.528,0.530,2.526,0.529,2.522,0.529,2.521,0.529,2.519,0.529,2.519,0.529,2.518,0.529,2.517,0.530,
