17-06-08-01-50-12
Temp,code,VoutIP,Vref,Vout0A
1,0,1.1641,1.2325,2.6031
1,1,1.1621,1.2323,2.6027
1,2,1.1588,1.2320,2.6026
1,3,1.1562,1.2317,2.6022
1,4,1.1524,1.2312,2.6023
1,5,1.1497,1.2309,2.6029
1,6,1.1463,1.2304,2.6023
1,7,1.1430,1.2302,2.6030
1,8,1.1418,1.2299,2.6037
1,9,1.1389,1.2300,2.6038
1,10,1.1350,1.2302,2.6034
1,11,1.1315,1.2295,2.6028
1,12,1.1279,1.2293,2.6035
1,13,1.1248,1.2291,2.6038
1,14,1.1207,1.2291,2.6036
1,15,1.1179,1.2293,2.6038
17-06-08-01-57-06
Temp,code,VoutIP,Vref,Vout0A
1,0,1.1325,1.2286,2.6304
1,1,1.1294,1.2287,2.6310
1,2,1.1258,1.2289,2.6306
1,3,1.1229,1.2289,2.6312
1,4,1.1180,1.2290,2.6309
1,5,1.1148,1.2290,2.6311
1,6,1.1113,1.2289,2.6305
1,7,1.1088,1.2289,2.6304
1,8,1.1046,1.2288,2.6305
1,9,1.1008,1.2286,2.6307
1,10,1.0976,1.2286,2.6301
1,11,1.0945,1.2286,2.6305
1,12,1.0883,1.2288,2.6306
1,13,1.0848,1.2288,2.6313
1,14,1.0809,1.2289,2.6303
1,15,1.0766,1.2287,2.6298
17-06-08-02-03-47
Temp,code,VoutIP,Vref,Vout0A
1,0,1.1609,1.2283,2.6163
1,1,1.1576,1.2284,2.6165
1,2,1.1530,1.2282,2.6173
1,3,1.1495,1.2285,2.6170
1,4,1.1442,1.2287,2.6171
1,5,1.1411,1.2287,2.6173
1,6,1.1369,1.2288,2.6171
1,7,1.1327,1.2287,2.6170
1,8,1.1303,1.2286,2.6179
1,9,1.1263,1.2287,2.6184
1,10,1.1215,1.2287,2.6173
1,11,1.1174,1.2286,2.6178
1,12,1.1125,1.2287,2.6173
1,13,1.1076,1.2285,2.6181
1,14,1.1027,1.2286,2.6175
1,15,1.0983,1.2288,2.6182
17-06-08-02-13-32
Temp,code,VoutIP,Vref,Vout0A
1,0,1.1230,1.2283,2.5841
1,1,1.1194,1.2284,2.5840
1,2,1.1141,1.2284,2.5841
1,3,1.1096,1.2286,2.5840
1,4,1.1048,1.2288,2.5841
1,5,1.1011,1.2287,2.5843
1,6,1.0947,1.2285,2.5846
1,7,1.0907,1.2286,2.5847
1,8,1.0881,1.2286,2.5850
1,9,1.0837,1.2286,2.5853
1,10,1.0770,1.2284,2.5853
1,11,1.0720,1.2286,2.5849
1,12,1.0673,1.2286,2.5855
1,13,1.0621,1.2286,2.5863
1,14,1.0552,1.2287,2.5855
1,15,1.0499,1.2288,2.5852
