11/27/2017 12:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YuEn-Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
YuEn-Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
45,0,2.689,2.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,2.688,2.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2,2.688,2.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,3,2.687,2.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,4,2.687,2.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,5,2.686,2.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,6,2.685,2.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,2.685,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,8,2.685,2.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,9,2.684,2.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2017 14:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YuEn-Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
65,0,2.689,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,2.688,2.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2,2.687,2.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3,2.687,2.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,4,2.686,2.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,5,2.685,2.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,6,2.684,2.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,7,2.683,2.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,8,2.682,2.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,9,2.682,2.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2017 14:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YuEn-Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
85,0,2.688,2.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1,2.687,2.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2,2.685,2.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,3,2.684,2.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4,2.683,2.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,5,2.682,2.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,6,2.681,2.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,7,2.68,2.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,8,2.679,2.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,9,2.678,2.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2017 15:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YuEn-Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
105,0,2.685,2.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,2.684,2.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
