10/25/2017 9:22:28 PM
SC810-20U
IP = 10A
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15,
25,00,0.921,1.153,0.909,1.152,0.909,1.152,0.909,1.152,25,02,0.908,1.152,0.909,1.152,0.909,1.152,0.909,1.152,25,04,0.909,1.152,0.908,1.151,0.908,1.152,0.908,1.152,25,06,0.908,1.151,0.908,1.152,0.908,1.152,0.908,1.152,
