IP,Vout1,Vout2,Vout3,Vout4,Vout5,Vout
0,0.031,0.031,0.031,0.032,0.031,0.0312
1,-0.408,-0.408,-0.408,-0.409,-0.408,-0.4082
2,-0.853,-0.853,-0.854,-0.853,-0.853,-0.8532
3,-1.3,-1.3,-1.3,-1.3,-1.299,-1.2998
4,-1.745,-1.746,-1.745,-1.746,-1.746,-1.7456
5,-2.192,-2.192,-2.191,-2.192,-2.192,-2.1918
6,-2.639,-2.639,-2.639,-2.639,-2.639,-2.639
7,-3.085,-3.086,-3.086,-3.086,-3.086,-3.0858
8,-3.532,-3.532,-3.532,-3.532,-3.532,-3.532
