C:\Users\Work\Documents\Github\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep620Linearity--302-17-06-07-12-08-45.csv
IP,Vout
25,4.2610
24,4.1945
23,4.1283
22,4.0618
21,3.9957
20,3.9291
19,3.8629
18,3.7964
17,3.7307
16,3.6637
15,3.5976
14,3.5313
13,3.4653
12,3.3983
11,3.3331
10,3.2670
9,3.2004
8,3.1348
7,3.0688
6,3.0034
5,2.9373
4,2.8725
3,2.8072
2,2.7428
1,2.6774
-0,2.6138
-1,2.5142
-2,2.4476
-3,2.3810
-4,2.3161
-5,2.2503
-6,2.1845
-7,2.1192
-8,2.0528
-9,1.9862
-10,1.9204
-11,1.8541
-12,1.7880
-13,1.7218
-14,1.6555
-15,1.5889
-16,1.5226
-17,1.4560
-18,1.3901
-19,1.3230
-20,1.2564
-21,1.1900
-22,1.1241
-23,1.0567
-24,0.9906
-25,0.9246
