C:\Users\Work\Documents\Github\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep620Tc2--301-17-06-07-11-58-38.csv
gain tc2
code,VoutIP,Vref,Vout0A
0,4.0276,1.1627,2.6027
1,4.0331,1.1628,2.6025
2,4.0377,1.1629,2.6021
3,4.0431,1.1628,2.6026
4,4.0489,1.1628,2.6030
5,4.0548,1.1626,2.6035
6,4.0603,1.1628,2.6030
7,4.0654,1.1628,2.6034
8,4.0711,1.1629,2.6043
9,4.0772,1.1630,2.6044
10,4.0823,1.1628,2.6042
11,4.0892,1.1627,2.6048
12,4.0958,1.1629,2.6048
13,4.1025,1.1629,2.6051
14,4.1091,1.1628,2.6053
15,4.1158,1.1628,2.6055
