C:\Users\Work\Documents\Github\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep620Tc1--301-17-06-07-11-57-42.csv
gain tc1
code,VoutIP,Vref,Vout0A
0,4.3839,1.0857,2.5992
1,4.3850,1.1100,2.6002
2,4.3851,1.1269,2.6005
3,4.3854,1.1383,2.6012
4,4.3854,1.1477,2.6009
5,4.3851,1.1558,2.6011
6,4.3859,1.1605,2.6015
7,4.3853,1.1624,2.6007
8,4.3860,1.1626,2.6016
9,4.3854,1.1626,2.6017
10,4.3856,1.1626,2.6020
11,4.3863,1.1628,2.6021
12,4.3858,1.1629,2.6020
13,4.3863,1.1628,2.6018
14,4.3860,1.1628,2.6020
15,4.3866,1.1629,2.6017
