C:\Users\Work\Documents\Github\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep620Tc2--302-17-06-07-12-18-34.csv
gain tc2
code,VoutIP,Vref,Vout0A
0,3.9301,1.1627,2.6150
1,3.9348,1.1629,2.6146
2,3.9396,1.1629,2.6148
3,3.9443,1.1629,2.6152
4,3.9484,1.1628,2.6151
5,3.9540,1.1629,2.6156
6,3.9588,1.1628,2.6155
7,3.9648,1.1628,2.6154
8,3.9709,1.1629,2.6160
9,3.9772,1.1627,2.6165
10,3.9829,1.1628,2.6167
11,3.9890,1.1628,2.6178
12,3.9935,1.1629,2.6166
13,4.0005,1.1628,2.6171
14,4.0060,1.1628,2.6166
15,4.0129,1.1629,2.6175
